customer_id,first_name,last_name,order_id,order_date,order_country
C-1001,Lucas,Gomez,ORD-119,2026-03-06,Argentina
C-1014,Noah,Smith,ORD-133,2026-02-21,Australia
C-5566,Mateo,Silva,ORD-117,2026-08-03,Brazil
C-1002,Chloe,Lefebvre,ORD-120,2026-03-05,Canada
C-1016,Liam,Brown,ORD-135,2026-02-19,Canada
C-1067,Leo,Cook,ORD-186,2025-12-30,Canada
C-9930,Li,Wei,ORD-105,2026-03-20,China
C-7721,Lars,Jensen,ORD-113,2026-03-12,Denmark
C-1199,Amelie,Poulain,ORD-116,2026-03-09,FR
C-3344,Jean,Dupont,ORD-110,2026-03-15,France
C-4455,Hans,Muller,ORD-115,2026-03-10,Germany
C-1010,Aarav,Patel,ORD-129,2026-02-25,India
C-9988,Ananya,Rao,ORD-112,2026-03-13,India
C-1008,Zahra,Abadi,ORD-127,2026-02-27,Iran
C-5541,,O'Connor,ORD-106,2026-03-19,Ireland
C-1011,Noa,Cohen,ORD-130,2026-02-24,Israel
C-1005,Sofia,Rossi,ORD-124,2026-03-02,Italy
C-1003,Yuki,Sato,ORD-121,2026-03-04,Japan
C-6653,Suki,Tanaka,ORD-109,2026-03-16,Japan
C-1009,Diego,Flores,ORD-128,2026-02-26,Mexico
NULL,Maria,Garcia,ORD-103,,Mexico
C-NULL,Fatima,Zahra,ORD-118,2026-03-07,Morocco
C-1015,Emma,Wilson,ORD-134,2026-02-20,NZ
C-1007,Jakub,Nowak,ORD-126,2026-02-28,Poland
C-1012,Ivan,Ivanov,ORD-131,2026-02-23,Russia
C-2231,Elena,Petrova,ORD-107,2026-03-18,Russia
C-1006,Kim,Min-jun,ORD-125,2026-03-01,South Korea
C-2211,CARLOS,RUIZ,ORD-111,2026-03-14,Spain
C-1013,Freja,Nilsson,ORD-132,2026-02-22,Sweden
C-7742,Ahmad,Khan,ORD-108,2026-03-17,UAE
C-1102,sam,smith,ORD-104,2026-03-21,UK
C-1066,Pippa,Reed,ORD-185,2025-12-31,UK
C-1004,Oliver,Twist,ORD-122,2026-03-03,UK
C-8821,Valeria,Kuteva,ORD-114,2026-03-26,US
C-1062,Bella,Stewart,ORD-181,2026-01-04,USA
